segmento_id,osm_via_id,rodovia,nome_via,sentido_osm,faixas,velocidade_max_kmh,latitude,longitude,comprimento_segmento_m,distancia_vegetacao_m,tipo_vegetacao,osm_vegetacao_tipo,osm_vegetacao_id,score_prioridade,prioridade_inspecao
1,4523218,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1457918,-46.9660387,93.0,93.4,wood,way,1094352275,70.1,alta
2,4523218,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1462306,-46.9652823,89.9,95.7,wood,way,1094352275,69.5,media
3,4523218,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1467291,-46.964495,105.6,166.4,wood,way,1094352275,50.6,media
4,4523218,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1471814,-46.9638248,64.5,180.9,wood,way,1094352229,46.8,media
5,4523218,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.147608,-46.9632436,87.7,156.3,wood,way,1094352110,53.3,media
6,4523218,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1482696,-46.9624215,135.8,85.7,wood,way,1094352110,72.2,alta
7,4523218,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1489754,-46.9616072,93.1,52.3,wood,way,1094352110,81.0,alta
8,4523218,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1495415,-46.9610117,82.1,50.0,wood,way,1094352110,81.7,alta
9,4523218,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1502813,-46.9603101,136.2,57.8,wood,way,1094352110,79.6,alta
10,4523218,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1512054,-46.9594768,130.7,100.6,wood,way,1094352110,68.2,media
11,4523218,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1526044,-46.9582434,269.7,50.5,wood,way,1094352119,81.5,alta
12,4523218,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1538952,-46.957095,101.2,26.7,wood,way,1094352119,87.9,alta
13,4523218,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1549165,-46.9561678,194.7,21.7,wood,way,1094352119,89.2,alta
14,4523218,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1561543,-46.9550141,167.9,101.4,wood,way,1094352119,68.0,media
15,4523218,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1570493,-46.954123,102.0,235.9,wood,way,1094352119,32.1,baixa
16,4904216,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1568963,-46.9536742,62.6,260.3,wood,way,1094352119,25.6,baixa
17,4904216,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1561157,-46.9544519,172.9,147.6,wood,way,1094352119,55.6,media
18,4904216,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1547665,-46.9557164,223.3,61.2,wood,way,1094352119,78.7,alta
19,4904216,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1527055,-46.9575664,371.0,45.2,wood,way,1094352184,82.9,alta
20,4904216,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.150818,-46.9592524,172.2,57.0,wood,way,1094352110,79.8,alta
21,4904216,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1499552,-46.9600323,77.3,12.6,wood,way,1094352110,91.6,alta
22,4904216,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1494472,-46.9605097,72.0,0.2,wood,way,1094352110,95.0,alta
23,4904216,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1488861,-46.9610838,99.3,7.9,wood,way,1094352110,92.9,alta
24,4904216,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1482769,-46.9617475,92.5,24.0,wood,way,1094352110,88.6,alta
25,4904216,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1477849,-46.9623122,66.6,63.0,wood,way,1094352110,78.2,alta
26,4904216,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1473423,-46.9628558,82.0,121.4,wood,way,1094352110,62.6,media
27,4904216,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1469094,-46.9634379,71.2,193.6,wood,way,1094352110,43.4,media
28,4904216,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1465095,-46.9640227,77.9,171.3,wood,way,1094352275,49.3,media
29,4904216,SP-348,Rodovia dos Bandeirantes,yes,3,120,-23.1458187,-46.9651658,201.9,50.0,wood,way,1094352275,81.7,alta
